,news_title
0,보험산업 적정 이익 현재보다 1.9배 높아야
1,"보험산업, 시장 기대치 만족 위해선 현재보다 2배 이익내야"
2,"보험硏 ""제로금리, 보험산업 '건강한 수익구조' 필요"""
3,[기자의 눈]보험산업의 미래가 어둡지 않은 이유
4,"금융硏 “보험산업 성장 정체, 수익성은 손보 유망”"
5,[2020 대학생 아이디어 공모전-장려상(한국보험신문사장상)]“보...
6,"""국내 보험산업, 금리하락 등으로 10년간 가장 낮은 수익률"""
7,[2020 대학생 아이디어 공모전]‘마스크’ 너머로 보험산업의 밝...
8,AI 보험판매·배달로봇 허용..비대면 산업에 1.6조
9,2021년 보험산업 전망의 키워드는 ‘디지털화’
10,[대학생 아이디어 공모전]보험산업 발전 위한 대학생들의 아이디...
11,보험연구원 “보험산업 소비자 중심 경영으로 성장정체 극복해야”
12,"금융연구원 ""보험산업, 미래 경쟁력 확보 위한 핵심 관건은 '디지..."
13,AI 보험 팔고 스마트병원 짓는다..비대면산업에 1.6조 투입(종합2보)
14,"""내년 생명보험 역성장..보험산업 경쟁구도 급속한 변화 예상"""
15,"보험 가입도 AI로 허용…정부, 비대면 규제 빗장 푼다"
16,“자동차보험산업 성장 뒷받침할 든든한 원군될 것”
17,내년 보험산업 1.7% 성장..생명보험 '마이너스' 성장
18,성장엔진 차갑게 식은 보험산업..탈출구는?
19,"KISA-DB손해보험, 보험산업 혁신 이끈다"
20,"""한국판 팬데믹 休止보험 만들자"" [제13회 국제보험산업심포지엄]"
21,"저금리에 코로나까지..이중고 시달리는 보험업계 ""수익성 제고해야"""
22,"""보험업, 영업보다 채권팔아 돈 번다"""
23,글로벌보험산업 ‘코로나19 파고’서 회복시간 짧다
24,"""5조원씩 이익내도 어렵다는 보험업계.. 왜?"""
25,2021년 보험산업 성장률 1.7% 전망..디지털 전환 시급
26,"""위험 대비가 보험 본질.. 발상의 전환으로 돌파구"" [제13회 국제..."
27,"""빅테크 가세한 보험시장.. 공정한 경쟁환경부터 만들어야"" [제13..."
28,[2021년 보험산업 전망과 과제]성장한계 이른 기존 보험사업 재조...
29,"보험산업 제도 개선, 소비자 효용이 우선 [제13회 국제보험산업심..."
30,'제13회 국제보험산업심포지엄' 패널토론
31,'제13회 국제보험산업심포지엄' 김용덕 손해보험협회장 축사
32,"""제로금리 시대 보험사 생존 방법은?""..보험연구원 온라인 세미나"
33,보험고객 관심사 파고들어야 지속 성장 [제13회 국제보험산업심포...
34,"코로나로 대면영업 못했다, 내년 보험산업 1%대 저성장 예고"
35,육아휴직 2번 나눠 쓴다..무급가족종사자에도 산재보험 허용
36,국제보험산업심포지엄에서 인사 나누는 윤석헌 금융감독원장
37,[2021년 보험산업 전망-생명보험]곳곳에 악재 많아 내년엔 마이너...
38,[ET단상]최초 보험과 마지막 보험
39,"CJ대한통운 ""택배기사 산재보험 제외 신청하는 집배점 제재"""
40,"""내년도 보험산업, 올해같은 성장 어렵다"""
41,"보험연구원 ""보험산업, 내년엔 저성장 추세로 회귀"""
42,"""금융·보험산업, 기본지식과 직무탐색 제공""...금융․보험ISC, ..."
43,"안철경 보험연구원장 ""보험산업 성장공백 불가피…체질개선 필요"""
44,[기자수첩] 보험도 '구독경제'다
45,"바이든 시대, 미국 건강보험 기업에 주목해야 할 때"
46,"소상공인 가족종사자, 산재보험 가입 가능해진다.. 최승재 ""소상..."
47,"CJ대한통운 ""산재보험 제외 강요하는 대리점 계약 해지"""
48,[社告] '제13회 국제보험산업심포지엄' 15일 웨스틴조선호텔
49,대면영업 막힌 설계사 사연에 먹먹.. 보험업법 이슈 국감서 묻혀 ...
50,"삼성화재, 2020 한국산업의 고객만족도(KCSI) 자동차 부문 및 장..."
51,"보험연구원 ""저금리 시대에는 10兆 이익 내야"""
52,"""보험산업 성장 공백 사업재조정으로 메워야"""
53,"소비자단체·보험업계, ""강력한 보험사기 근절책 마련돼야"""
54,"보험연구원, 10번째 '보험연구원 리포트' 게시"
55,보험硏 “국내 보험사 10년내 순익 보릿고개 온다”
56,"정지원 신임 손보협회장 ""보험업 발전위해 최선다할 것"""
57,"내년 보험산업 1%대 저성장…""사업 재조정 필요"""
58,"보험연구원, '금소법 관련 보험 규제 변화' 동영상 서비스 제공"
59,[김진수의 보험 인사이트]보험료와 보험금 사이의 간격
60,보험소비자 만족도 타 산업 대비 크게 낮아
61,"내년 보험산업, 퇴직연금 제외하면 1.7% 성장 그쳐"
62,"'고령화' 심화에 보험가입자 급감...보험연구원 “성장기회 모색""..."
63,"보험硏 ""국내 보험사 순익 10년래 최저, 2배 늘어야 적정"""
64,"[2020년 연중기획-제로성장 보험산업, 혁신상품과 서비스로 신시..."
65,"테슬라, 최고점 근접에도 환손실에 우는 개미들"
66,[2021년 보험산업 전망-손해보험]장기 보장성·일반보험 수요 확...
67,"""내년 보험산업 수입보험료, 전년比 1.7% 증가 예상"""
68,지난해 보험사기액 9000억.. 건강보험 재정 3조원 샜다
69,"""내년 전체 보험산업 수입보험료 1.7%↑···생보는 逆성장 """
70,보험설계도 ‘디지털화’된다...‘설계사용 앱’ 속속 출시
71,"40만 보험설계사, 고용보험 가입자 될까"
72,"보험연구원, 주요 연구 리포트 동영상으로 소개한다"
73,"한승표 리치앤코 대표, 기술력으로 보험 유통업 혁신한다"
74,AI와 보험 상담하고 가입까지..비대면 보험 모집 활성화
75,"中, 원자력보험 도와 원자력발전산업 지원"
76,보험업 문턱 낮춘다…'미니보험' 판매사 자본금 요건 대폭 완화
77,보험 CEO 줄줄이 임기 만료..물갈이 이어지나
78,"보험설계사 고용보험 의무적용 논란 지속..""임의 가입 한정해야"""
79,"정순일 새한 대표, 국가품질경영대회 은탑산업훈장"
80,"[그날 그후]LIG에서 온 KB손해보험, 금융지주 '비은행 강화' 인수..."
81,[2020 대학생 아이디어 공모전-우수상(손보협회장상)]“보험 꿈나...
82,"진웅섭 전 금감원장, 생보협회장 고사…정희수 보험연수원장 급부상"
83,"농협생명, 농업인안전보험 부지급률 ‘제자리’ 논란"
84,"""관행 과감히 탈피..보험혁신 보여줬다"""
85,"[탁류청론]택배노동자의 과로사 대책, 모호한 부분 있지만 산재보..."
86,"보험업계, 늘어나는 소비자 민원..왜"
87,'미니보험' 전문회사 설립 문턱 낮아진다
88,"국회, 2019 회계연도 결산안·민생법안 등 처리"
89,온라인 보험모집·비대면 진료체계 구축..8대 유망분야 1.6조 투자
90,"[보험설계사 고용보험 도입]①정부, 보험설계사 고용보험 의무화...."
91,"금융·보험 ISC, 부산지역 금융권 퇴직자 대상 지원 프로그램 개설"
92,[오혜림 노무사의 산재이야기19] 산업재해보상보험법에 따른 요양...
93,"건강보험심사평가원, 국가품질혁신상 대통령표창 수상"
94,"IPO 에이플러스에셋 ""보험의 하이마트..독보적 경쟁력"""
95,"""보험산업 연계 고용보험, 실업률 낮출수 있어"""
96,"한화생명, '포인트 플랫폼 보험지급 서비스' 혁신금융서비스 선정돼"
97,"무역보험공사-로봇산업진흥원, 로봇산업 수출 지원 협약"
98,"정순일 새한 대표, 국가품질경영대회 은탑산업훈장 수상"
99,"생명보험협회장 누가 되나, 관료출신 논란에 차남규 이병찬도 물망"
100,"언택트 시대, 보험업계 AI 접목 비대면 전환 급물살"
101,"보험硏 ""보험사 공익사업, 신뢰도 제고에 기여하는지 의문"""
102,"CJ대한통운 ""산재보험 제외 강요하는 대리점은 계약 해지"""
103,"생명보험협회, ‘보험소비자 보호를 위한 보험사기 근절방안 마련..."
104,"금융-보험 ISC, 부산지역 금융권 퇴직자 대상 금융특화 전직지원 ..."
105,보험학회 내달 정책세미나..예금보험제도 개선 주제로
106,"생보사 ‘빅3’, 디지털 보험영업 경쟁 본격화"
107,"삼성 금융사들, 석탄산업 투자·보험인수 중단...ESG 경영 일환"
108,CJ대한통운 “택배기사 산재보험 가입 막는 집배점 계약 해지할 것”
109,"보험연구원, 10번째 '보험연구원 Report' 동영상 게시"
110,"보험연구원, '금소법 관련 보험 규제 변화' 영상 리포트 게시"
111,"보험료 인상 부르는 보험사기, 근절 해법은?"
112,"'소비자만족도' 부실한 보험, 한해 민원만 5만건"
113,커지는 보험사기 근절 목소리...사무장병원 도마위
114,코로나 불안심리?...손보사 보험료 4조원 더 걷혔다
115,보험설계사간 양극화 심화한다..해법은
116,[김진수의 보험 인사이트]실손의료보험의 뒤안길
117,"보험, 불완전판매 줄어드는데 민원은 늘어..'소비자 보호제도' 늘..."
118,"네오펙트 의료기기, 美 산업재해보험 승인 받아"
119,"보험업, 금융업권 '민원왕'..한 해 5만여건"
120,"""보험 불완전판매 감소했으나 민원 되레 늘어..이미지 개선 시급"""
121,"보험연구원, ‘금융소비자보호법의 주요 내용과 보험 규제 변화’..."
122,보험사기 '심각' 민·관 모여 근절책 마련 모색
123,"보험연구원, 열 번째 리포트 동영상 게시"
124,[윤영미의 소비자 세상] 보험사기방지특별법 개정으로 소비자 피...
125,"보험연구원, 주요 이슈 핵심요약 동영상 공개"
126,"""보험사 ROE 10년새 3분의 1 토막.. 적정 이익 1.9배 높아야"""
127,"에이플러스에셋, 20일 코스피 입성…흥행 '촉각'"
128,보험사 순익 10년간 최저 수준..1.9배 늘어야 적정
129,"보험연구원, 금소법 관련 영상 리포트 게시"
130,"보험연구원, 열 번째 동영상 리포트 서비스 제공"
131,[KCSI 우수기업] 국내 산업 대표적 고객만족도 조사제도로 자리매김
132,"""보험사, 제로금리 여파 마진 축소 불가피..사업 프레임 바꿔야"""
133,서희영 피플라이프 인천TOP사업단 단장 “언택트 시대에 인슈어 ...
134,"""보험사 순익 하락세..현재보다 4.7조 더 늘어야 적정"""
135,"불완전판매 줄었지만, 여전한 보험민원..""바뀐 소비자 특성 반영,..."
136,보험사 이익 10년간 최저 수준
137,언택트 보험의 시대
138,"""국내 보험사 순익, 10년 내 최저.. 이익 1.9배 늘어야 적정"""
139,"지난해 보험사기 규모만 8800억원…업계, 대책 마련 ‘한목소리’"
140,보험사 지금보다 2배 더 벌어야 시장 만족
141,"보험硏 ""소득·건강·재난 대비한 보험산업의 역할 강화돼야"""
143,보험산업 발전 위한 2020 대학생 아이디어 공모전 개최
144,"[류준우 보맵 대표] “언택트 시대, 데이터 결합으로 보험산업 혁..."
145,[대학생 아이디어 공모전]2030세대의 보험 니즈와 트렌드 한 눈에...
146,"무역보험공사, 국내 로봇산업 세계 시장 진출 이끈다"
147,"무역보험공사, 국내 로봇산업 세계시장 진출 뒷받침"
148,영리추구 몰두하는 사무장병원…올 상반기에만 건강보험 재정 3.4...
202,"보험연수원, 제21회 보험심사역 자격시험에 225명 합격"
203,택배기사 산재보험 가입 확대..건강진단 실시 의무
204,"고령화 시대, 보험산업 사회안전망 역할 확대 필요"
205,불완전판매 개선 노력에도 보험민원 지속 증가
206,스몰티켓 P2P보험 전 분기 대비 80% 성장
207,보험소비자 만족도 여전히 낮다
208,"LH, '미얀마 경제협력 산업단지' 국제기구 보험 가입"
210,[제25회 헤럴드보험대상] 코로나 팬데믹시대 '비대면문화' 자리매...
211,"안철경 보험연구원장 ""공익 위해 실손보험 지속성 확보 불가피"""
212,차기 생보협회장 유력 후보 줄줄이 고사
213,"""언택트 시대 '인슈어테크'가 보험산업 생존변수 될 것"""
214,생보협회 차기 회장 인선 돌입..유력 후보 줄줄이 '고사'
215,업계 첫 24시간 컨설팅-보험가입 서비스
216,"""보험사 현재의 2배는 벌어야 적정 이익"""
217,"보험업계 고민···늘어나는 소비자 민원, 왜?"
218,"보험硏 ""'언택트 시대' 보험사, 소비자 만족도 높여야"""
219,성장 정체 극복 위해 보험소비자 만족도 높여야
220,[2020 대학생 아이디어 공모전-출사표]봄포유(보험 for You)
221,가족 종사자도 산재 가입..최승재 발의 소상공인 지원 3법 통과
222,삼성생명 '2020 한국산업의 고객만족도' 조사서 1위 선정
223,'제46회 국가품질경영대회' 비대면 개최
225,"""코로나 재확산, 보험산업 영향 검토 필요"""
226,"LH ""미얀마 경제협력 산업단지에 '정치리스크 보험' 가입"""
227,"삼성생명, 2020 한국산업의 고객만족도(KCSI) ‘생명보험 부문’ ..."
228,"삼성화재, 2020 한국산업의 고객만족도(KCSI) 자동차 부문 23년 ..."
229,"LH, '미얀마 경협 산업단지' 정치리스크 보험 가입..사업 안정성 ..."
230,"한국무역보험공사, 신산업 부실보증 보험사고 증가...대책마련 시급"
231,"무역보험공사-로봇진흥원, 로봇산업 수출 지원 협약"
232,"경기도의회 남운선 의원, 종합감사에서 자영업자 고용보험 지원 ..."
233,"남운선 경기도의원, 종합감사에서 '자영업자 고용보험 지원 사업 ..."
234,"[보험, 지금 못 바꾸면 고사(枯死)] 디지털 전환에 전통 판매채널..."
235,"보험연구원 ""보험 소비자 만족도 낮아…제도 변화 필요"""
236,"""보험설계사 소득 수준 정체..양극화 현상 심화"""
237,"윤미향 의원, 특고노동자 산재보험 가입을 촉진하기 위한 ‘보험..."
238,국가품질경영대회 개최…정순일 새한 대표 '은탑산업훈장' 수상
239,"자녀 1명당 1년 육아휴직..""두 번 분할, 총 세 번 쓸 수 있다"""
240,"육아휴직 분할 1회→2회 확대, 국회 본회의 통과"
241,"""법인보험대리점 넘어 플랫폼기업 목표"""
242,"자녀 1명당 1년인 육아휴직, 두 번 나눠 쓸 수 있다"
243,"보험 불완전판매율 개선됐지만, 소비자 민원은 여전"
244,"무역보험공사-로봇산업진흥원, 단체보험으로 로봇기업 수출 일괄 ..."
245,보험연구원 “보험산업 특성 고려한 분쟁 관리·해결 방안 필요”
246,"A+에셋, 코스피 '노크'…""법인보험대리점에서 플랫폼 기업으로"""
247,"최승재 의원 ""소상공인 입법 3건 국회 통과..법안 지속 발굴"""
248,"LH, 미얀마 경제협력 산업단지 '정치리스크 보험' 가입"
249,“비용 줄이고 효율 높이고”...AI 보험상담사가 온다
250,"KISA-DB손해보험, 인슈어테크 스타트업 육성프로그램 성과 발표"
251,"정부, 비대면 산업에 1.6조 투자..무착륙 비행에도 '면세' 혜택"
252,"고용장관 ""주요국도 특고 등 고용보험 확대..국회 협조 당부""(종합)"
253,보험설계사간 소득양극화 심화..신규·저능률자 교육 강화 필요
254,"테슬라 자동차보험 출시, 보험업계 판도 바뀌나?"
255,"경기도의회 남운선 의원, “자영업자 고용보험 지원 사업 점검 및..."
256,"이재갑 장관 ""특고 고용보험 적용 개정안 국회 협조 요청"""
257,"보험업계, 소비자민원 9년사이 25.5% 증가"
258,"보험설계사 소득 양극화 심화..""연고 의존 탈피해야"""
259,"금융-보험 ISC, 부산지역 금융권 퇴직(예정)자 대상 금융특화 전..."
260,보험 들 필요 없겠네..깨져도 다시 붙는 스마트폰 액정 소재 개발
261,보험硏 “보험권 불완전판매 개선... 소비자 만족도 개선은 없어”
262,"국표원, 제46회 국가품질경영대회 개최..유공자 훈·포장"
263,"우정사업본부, 2020년 한국산업의 고객만족도(KCSI) 공공서비스 ..."
264,官인사 배제한다더니..은행·증권·보험 가리지 않고 '낙하산'
265,"무역보험공사, 유망 신산업 ‘로봇 기업’ 해외 진출 이끈다"
266,"고승범 금통위원 ""국채발행 확대..필요시 적극 대응"""
267,제21회 보험심사역 시험 255명 최종 합격
268,"""보험금, 포인트로 획득"".. 한화생명, '플랫폼 혁신서비스' 선정"
269,"금융·보험 ISC, 부산 퇴직자 대상 전직지원 프로그램 개설"
270,‘시대 흐름 읽지 못했다’…보험업 홀로 소비자 불만도 상승
271,“건강보험ㆍ노인장기요양보험을 국가기금으로 전환해야”
272,"국산 밀 산업 육성..1차 목표, 2025년까지 자급률 5%"
273,"""내년 생명보험 역성장.. 체질개선 기회 삼아야"""
274,"보험연구원 ""소비자보호 제도 실효성 제고해야"""
275,'대한민국 CEO 명예의전당' 산업 행정계 리더가 한자리 모였다
277,"정세균 ""건강보험-국세 분야 데이터 개방 확대, 산업 촉진"""
278,"보험업, 소비자 민원 '여전'…지난해 5만여건"
279,"보험업, 금융업권 '민원왕'…한 해 5만 여건"
280,산업부 국가품질경영대회 개최...은탑산업훈장에 새한(주) 정순일...
281,"네오펙트, 美 의료보험 첫 승인..""민간 산재보험 적용 첫 사례"""
282,"한화생명, '포인트플랫폼 보험금 지급' 혁신금융서비스 선정"
283,채권 매각해 이익 낸 보험사···그래도 적정이익은 현재의 2배 ...
284,"민연태 농업정책보험금융원장 ""농식품 분야 모태펀드 운용 '유니..."
285,"남운선 의원, 자영업자 고용보험 지원 사업 점검 주문"
286,코로나19·저성장 후폭풍.. 내년 보험업 더 어렵다
287,"KISA-DB손해보험, '인슈어테크 스타트업 육성프로그램' 결실 맺다!"
288,"한화생명, '포인트 플랫폼 보험금 지급' 혁신금융서비스 선정"
289,"남운선 경기도의원, 자영업자 고용보험 지원 및 일자리보장제 제안"
290,"한화생명, ""보험금 포인트로 받아 포인트플랫폼에서 활용한다"""
292,보험·은행산업 이끌 차기 협회장 누가 될까
293,"금융-보험 ISC, 부산지역 ‘금융특화 전직지원 프로그램’ 개설"
294,"보험설계사간 소득양극화 심화..""월 평균 100만원 미만 26%"""
295,건강보험공단마저도..산발적 감염에 강원도 비상
296,고용보험 가입자 5개월 연속 증가세..공공일자리 효과
297,보험학회 2020 하계연합학술대회 개최..데이터3법과 보험산업 논의
299,"한국의료기기산업협회, IVD 건강보험 입문 및 보험정책 교육 개최"
300,"""보험산업 특성 고려한 분쟁 관리·해결 방안 필요"""
302,"'보험금 대신 포인트로'..한화생명, 포인트플랫폼 혁신서비스 선정"
303,"""세계 최고원전 기술력"" 한수원 국가품질경영대상 수상"
304,"무역보험공사, 로봇산업진흥원과 업무협약…""단체보험으로 로봇기..."
305,"보험硏 ""소득·건강·재난 대비 보험산업 역할 강화해야"""
306,"보험업계, '언택트 시대' 보험 산업 대응방안 모색"
307,"보험설계사 소득양극화 더 심해진다..""개척영업 확대해야"""
308,[기자수첩]언택트 시대 보험산업 뿌리부터 바뀌어야
309,"보험硏 ""빅테크와 공생, 보험산업 생존 결정"""
310,고용취약계층 보호의 길[기고/배규식]
311,보험 불완전판매 개선에도 소비자 불만 꾸준히 ↑…소비자 보호 ...
312,"오피니언-보험 필드 외길 30년차, 한 번의 연애와 세 번의 결혼"
313,"남운선 경기도의원, 종합감사에서 자영업자 고용보험 지원 사업 ..."
314,"보험硏 ""사회안전망 위해 보험산업 역할 강화돼야"""
315,"네오펙트, 美 의료보험 첫 승인..민간 산재보험 적용돼 스마트 글..."
316,"""보험소비자 보호 제도, 심리적·인지적·사회적 특성 고려해야"""
317,고용보험 가입자 36.4만명 늘었지만..공공일자리가 20만명
318,양봉산업 발전 방안 있나…체질개선 필수
319,"CJ대한통운 ""집배점, 택배노동자 산재 제외 강요하면 재계약 않을것"""
320,"삼성카드, 한국산업의 고객만족도(KCSI) 신용카드 부문 1위 기록"
321,머리 맞댄 보험업계…'언택트시대 보험산업 대응방안' 세미나
322,은행 거래시 신분증없이 휴대폰 앱으로 본인인증된다
323,"보험연구원, ‘언택트 시대 인슈어테크와 보험산업 전망’ 세미나..."
324,'제46회 국가품질경영대회' 개최
325,금융업권 `민원왕` 보험업…민원 한 해 5만여건 ‘1위’
326,2021년 8대 비대면 산업 1조6000억 투자
327,어선원 보험 70%만 내도 되는 이유
328,"산업장관 ""RCEP로 맺은 첫 한일 FTA..대등 경쟁 전략 필요"""
329,"보험硏, 2021년 생명보험 -0.4%..역성장 전망"
330,"한화생명 보험금 지급서비스, 혁신금융서비스 선정"
331,정순일 새한 이사 등 '국가품질경영대회' 훈장 받아
332,"고승범 금통위원 ""한국은행, 정부와 더 긴밀히 소통해야"""
333,"안철경 보험연구원장 ""인슈어테크, 보험산업 생존 결정짓는 변수..."
334,"""국내 보험사, 시장 만족 위해선 지금보다 2배 이익 내야"""
335,"韓보험사 순익 최저, 이익 1.9배 늘려야…사업 틀 변화 필요"
336,차기 손해보험협회 회장에 정지원 한국거래소 이사장 내정
337,"한화생명, '포인트 플랫폼' 혁신금융서비스 지정"
338,"삼성카드, '2020 한국산업의 고객만족도(KCSI)' 조사서 1위 기록"
339,"삼성생명, 3분기 순이익 반등..이유는"
340,"금융·보험ISC, 취업준비생 대상 비대면 직무탐색 과정 개설"
341,"당정청, 필수노동자 고용보험 적용..산재보험 '전속성' 폐지 추진..."
342,보험연구원 “소득·건강·재난 안전 대비한 보험산업 역할 강화...
343,"""보험사, 제로금리 여파 마진 축소 불가피…사업 프레임 바꿔야"""
344,"2020 대한민국 CEO 명예의전당 지속가능, 고용친화, 사회공헌, 산..."
345,"제로금리, 보험사 건강한 수익구조 마련해야"
346,"""보험사 적정이익 현재보다 1.9배 높여야…수익성 제고 노력 필요"""
347,"[금융&핀테크] 미래에셋생명, 핀테크 혁신으로 새 먹거리 발굴"
348,보험업계 3분기 실적 선방…역성장 공포는 ‘여전’
349,"연봉 1억? 라이더 1600명 조사해보니 ""최저임금 겨우 번다"""
350,"""사기 예방부터 펀드관리까지""…보험업계 'AI 전성시대'"
351,[2020 대학생 아이디어 공모전-대상(금융감독원장상)]“내 가족 ...
352,"삼성카드, 한국산업의 고객만족도(KCSI) 조사 신용카드 부문 1위"
353,코로나 피해 어업인 추가 지원..재해보상보험 한시 인하
354,"인구감소·저성장에 보험영업 악화.. ""내년 수입보험료 하락 불가피"""
355,"""코로나에 고성장한 보험업, 내년엔 저성장 복귀 전망"""
356,"남운선 의원, 종합감사에서 자영업자 고용보험 지원 사업 점검 및..."
362,'코로나시대 골프산업의 과제' 세미나
363,"용혜인, '택배노동자 과로사 방지·산재보험 확대' 법안 발의"
364,"네오펙트, 美 의료보험 첫 승인..""민간 산재보험 적용돼 스마트 ..."
365,"손해보험협회장, 후보자 압축되는 가운데...‘관피아·모피아’ ..."
366,'언택트빨' 잘받는 보험산업..빅테크 가세로 비대면이 대세로
367,보험산업의 사회적 기여·발전 방안 모색
368,"네오펙트, 美의료보험 첫 승인 ""스마트 글러브 구입비 전액 지원"""
369,미국 보험산업에서도 인종차별 논란
370,"손보협회, 차기회장에 정지원 거래소 이사장 선임"
371,"LH,한-미얀마 산업단지 '정치리스크 보험' 가입"
372,"네오펙트, 美 의료보험 첫 승인..'스마트 글러브' 구입비 지원"
373,"""K-ICS 도입되면 생보사 지급여력비율 143%p 하락 전망"""
374,"저축성보험으로 버틴 생보, 내년엔 다시 역성장 전망"
375,[2020 대학생 아이디어 공모전]“비대면 플랫폼 제안이 다수… 코...
376,"LH, 미얀마 경제협력 산업단지...정치리스크 보험 가입"
377,정부 '언텍트 산업' 육성 나선다
378,"민주당 ""민생법안 입법에 최선 다하겠다"""
380,"""코로나19에 반짝 성장한 보험업..내년 저성장 회귀"""
381,"LH, '정치리스크 보험' 가입…미얀마 경제협력 산업단지 안정적 추진"
382,[시론]한국보험신문이 옳았다
383,고용원 둔 자영업자 산재보험 가입률 60%에도 미달
384,"[인터뷰] “지속가능한 건강증진 플랫폼, 재보험사는 가능하죠”"
386,"보험연구원, 코로나19 영향 언택트 시대 보험산업 대응방안 모색"
387,"""전국민 고용안전망 시대, 보험산업 역할은"" 정책세미나"
389,“자산팔아 손실 메우는 보험사...이익구조 바꿔야”
390,"최승재 의원, '소상공인 입법 3건' 본회의 통과"
391,연세의대·강남세브란스 의료산업 최고위자 과정 2기 모집
392,"한국산업은행, 금융 공공기관 중 장애인 의무고용률 최하"
393,"네오펙트, 재활의료기기 美 민간보험 승인..구입비 전액 지원"
394,"3800만 불편 덜어줄 '실손보험 청구 간소화', 11년 공전 마칠까"
395,'요기요'에서 사고난 라이더..산재보험 '배민'서 받는다고?
396,"한정애 ""당정청, 고용·산재보험 '전속성' 폐지검토"""
397,[비즈니스 현장에 묻다] 케이크 하나도 앱으로 주문하는 핀테크 ...
399,'제46회 국가품질경영대회' 개최… 새한(주) 정순일 대표 은탑산...
